Nepali_Text,binary_label
"बाख्रा चोर र बाख्रा को मासु पकाउने सेब्😁🤣
एउटा बाख्रा चोरेर ल्याउने अर्को पकाउने😁",1
टिमलाई बोका 🐐 सम्जेर बेच्देला है ब्रो 😆,1
झोला बोकेको कति दियो🤣,1
खसी बाद बोका इन आ समे फ्रेम 😂,1
के मुजी २००० मा बिकेकै हुन ता के वारे मासु पुरै १केजी खाने वकै हुन ता आजको दिन मा वानुस जन्त जान्न चान्क्सान🤣🤣,1
थुका मुजी गंगन मदारचुट बस्त्राचारी,1
बोका हल्लाल हुना रेडी,1
बाख्रा चोर सँग बोका दाइ 😂😂😂,1
मुजी झोले,1
एमजी फेस ता समे छ ता,1
यो मुगी लाई वोटे हालेउ वाणी दाजु टीएमई मुगी नि येस्कै काँडो चाटेर बसा,1
"गगने लाई वोटे तपाई लाई नै हो वन्दै गफ हानेनी,
वोटे चाई घाँटी लाई हाल मुजी",1
बाख्रा चोर को संगत ले कुखुरा चोर होला भाइ होस गर,1
दलाल न भै बाबु,1
दै यो गगने लाई वेटे पानी वोटे चाई घण्टा बजाएरै घाँटी मा हाल्नु पार्क्स है😂,1
बाख्रा चोर हो यो..,1
दुइटा नै दलाल हो अरुको कुरा नकाटी खान पाउदैनन।,0
गगन सिर ले बोका नि कोरेक्सान 🤣🤣🤣,1
आउट  बाख्रा चोर रा बोका  किली साथी हुना सक्दिन है  बिशाल दै 😂😂,1
"हेर्दै चोर को अनुहार परेको छ यो गगनेको 🤨
अबिर दल्दा त झन माउवादि 😆",0
झोले वयेक्सा जाठो😂,1
राडी को बाँ झोले मुजी आउकात मा आइश अन्तय मा चिक्ने,1
"आबव चाई मलाई यो मान्छे ठिक लग्नव  क्सोड्यो है 
मुजी दै",1
मुजी आबा तहलाई पानी मुजी नै वन्नु पर्ने वायो,1
यो बाख्रा चोरको  सँगत नगर है ।😎😂,0
अब गगन थापाले मुख छाड्दै भोट माग्न बेर छैन 😂😂,0
एक तस्वीरमा दुई बाख्रा प्रेमी 👍,0
एक चोटि  बाख्रे लाई गुजि मन्देर आउ😂😂,0
अरु बेला भेट्न् समय अनि तिमीहरूलाई चिन्दैनन यहीँ चुनावको बेलामा भेट्दै हिंड्नु होला!,0
समाज र देशका लागि चिन्तित दुई युवा।,0
कुन दिन देखि विशाल ब्रो पनि उमेदवार भनेर सुन्नु पर्ने हो😀,0
दुई जनै खसी 🐐लभर परेछ 😆,0
मुक्क थुजी डलरेका बान।,1
कान बाटा खुन आउने गरी क्साडा बोलेर पठाउन सकेनौ नि डाका लाई,1
दुई जना फताहा र चोरहरु  🙅🏻 कठैबरा 🤣,0
युउटुब सस्क्राईब लाई अनसस्क्राईब गरियो केटा हो 😂😂,0
फोकत को माल मुख्मा हाल 😁😁😁,0
शिशी खाली भए पछि औता जुझारू केटो एमसिसी को पछि लाग्दै,0
ओली ले गोली हानलान् है 😅,0
दुइटा बाख्रे,0
बखरा चोर,1
यै बेला हो फोटो खिच्ने अरु बेला त भेट्न पनि पाइन्न 😂,0
थुक्क जिमु.... येती हो मेरो भन्नु,1
दुई ओटा गगन थापा,0
आज देखि यो विशाल गौतम पनि मन पर्न छोड्यो,0
अनि मु* हा हा गाइज पनि राम्ररी भन्न जानेनन त भबिस्यको प्रधानमन्त्री ले🤣🤣,0
मुस्कान नै चाहिँ न दिहाल्या भए हुन्थ्यो मु ं दाइ,0
मुज* दाइ त भनेनौ नी🙄😣,0
प्रवेश गरियो कि फोटो मात्रै हो,0
येसलाई नि जेल हाल्नु पर्यो... चोर को संगत गार्क्सास?🤣😂,1
फाइनली केटा हो बिशाल गौतम नि झोले भएछ 😁😁😁😁😁,0
बाख्रा चोर एन्ड कुखुरा चोर इन सिङले फोटो,1
आइफोन दिने वो चुनाब जितेर 🤣🤣 बच्र चोर ले 🤣🤣,1
खसीको मासु दिनदिनै खानुको कारण था पाइयो😂,0
देखावटी मात्र हो भोट केमा जान्छ भनेर थाहा छ दै छ नि।,0
गगन दाइलाइ जाकेटको मुल्ले सोद्न के गरेउ,0
झोले,1
देश द्रोही,1
यो म्यानक्से गतिलो होला वनेको झोले निस्कियो💔,1
यो सब गगन थापा को पार्टी हो दै अनि सम्दी ता हेरेको हेरेकै क्षता सम्दी चाई आरकै पार्टी को होकी क्या हो,0
कता बाटा तेत्रो मटन पार्टी वैरचा वनेको ता 😆 येस्तो पो हो कारण,0
जे नेपाल ☺️,0
गाली खाने पालो तपाइको अब???🤣🤣🤣🤣,0
लिभिङ डे एन्ड लाइफ विथ नेक्स्ट पीएम!,0
बाख्रा र बोका,0
खसी को मासु को व्लग आउच आबा,0
खुट्टा ढोक्न लगाउ 😆😂बोका लाइ,0
राम्रो सँग झोला बोक्नु दै नत्र पैसा नदेला🤣,0
मुगी रक्स 🤟🤣❤️,0
विशाल गगन🗿🤌,0
नाइस हुडी दाजु,0
सिन्दुर नै हालेछौ नि,0
मेयर को लागी सोतन्त्र मा उठेका बालें को सपोर्ट गरेको जस्तो लागेको थियो आइले आयेर पार्टी को झण्डा उठाइयो होइनता? के गर्नु मासु भात ता खानु पर्यो🙏😂😂,0
गगन गौतम विथ बिशाल थापा,0
"वेलु बजे पक्षी आबा बिशाल आखिर कति मा बाइक होला ता बिशाल,😜🤣🤣🤣🤣🤣",0
फाइनली फाइनली,0
हैन सधै माशु खाने पैसा काह बाटा आयो वनेको ता कुरा येस्तो रैचा आनी 🤥,0
मासु भाटा खाइयो होइन😂😂😂🤨,0
वोव अमेजिङ पिक,0
ह्यापी दसै मामा वान्जो लिए,0
"आखिर देखाउन ता सबलाई पर्ने रेक्स 😆😆😆
के पायौ भाइ तिमीले आबा 😆😆😆",0
आबा गगन थापा सँग को नि इन्टरभ्यू आउनु पर्यो🤣,0
बिशाल इस ❤️,0
पैसा पाएसी बल हो जोसित नि गाइडिन्क्सान,0
गगन थापा हार्ने पक्का वो 🤣,0
इज्जत बेचुवा🙄,0
बाख्रा रा बाख्रा ब्यापारी 😂😂😂,0
मेरो वोटे बिशाल लाई🤟🏿💪🏻❤️🥳,0
"गगन सिर लाई १,२ ओटा सब्द सिकाएर पठाउनु हुला काम लाग्न सक्स😂",0
चुनाब नजिकिदै गर्दा गगन थापा बिशाल दै बाटा केही टिप्स लिदै,0
या फाठा ला पानी मासु खयरा येसलाई वोटे हाल्न वायो,0
खायो खायो 🔥😂,0
कति पैसा मा बिकेको यो सागा ?,0
बिशाल दै पार्टी मा 😂😂,0
गगन थापा मा पानी सनागत को असर देखिन बेर क्सोइना😀😁😀😁😂,0
बिशाल गौतम दै पक्का पानी मासु मिठो वयेर होला,0
बिक्यो जाठो🤣,0
चुनाबी गफ हनेर्व भीडीओ चाइयो 💜,0
देरै हाँसुम दै हाहा तपाई है फेरी,0
त्वो मटन लवर इन ओने फ्रेम 🖼️,0
"३केजी वन्द थोरै टीडब्लू नेभर 
वनेको टीडब्लू येता रेक्सा सप्लायर",0
मासु भात दानदान क्त हो,0
मासु भात खाउ तारा .........😂😂😂,0
येस्तै वाडे जन्त ले गर्दा हो.देश बिग्रेको,0
मासु भात खाना गगने को घ्र नै पुगेको?,0
प्रोग्राम कति बेला हो दै आजा,0
फाइनली १ लिटर पर्ट्रोल रा १००० आरएस पायो येसले,0
आबा फेरी मासु भात खाने होला नि हैन 🤣,0
जे एनपीएल,0
बिशाल ले डुबायो आबा🤣😂,0
सपोर्ट गगन थापा फोर नेक्स्ट पीएम,0
मैले नि वेत्या हो फोटो मात्रैइ नहालेको,0
गाली खाने पालो होक??🫣🤣🤣,0
प्रधानमन्ती बनाम है,0
करोड कुम्ल्याएयो🤣🤙,0
वोटे कोलाई हो 😂🤣,0
फाइनली झोले भइयो ..!,0
हिजो अस्ति खसी को मासु किना देखायो वनेको ता .. यस्तो पो .. 🤣🤣,0
मुख क्सोडेर पठायौ कि?,0
मासु खाने क्रम मा आटा पानी पुगियो हैन ता,0
गजब,0
सब्सक्रिब्सन घट्ला दाजु 😆,0
चदरमोड,0
गनगन थापा : फाइनली बाख्रो चराउने केटो भेटियो 😂😂,0
अहि चुनाब को बेला मा ता भेट्ने हो चुनाब पक्षी ता चिल्लै 🤣🤣🤣🤣🤣,0
जगल्टे वीएस तालु,0
ला मुग दामी,0
गोर्खा मन कामना 😆,0
छ्या !!😂,0
फाइनली झोला बोकियो होइन😅😆😆,0
स्वोस्तीका सुनार बोरे वक्सौ वाणी कमेन्ट्स पढा है 😉😂,0
ता भरौटी झण्डीए को नि कमा चाइना अबा..🤣🤣🤣🤣🤣,0
चुनाब आउन साथ नेता हरु ता जतै पग्सान😂😂,0
सोल्टी  मजाक ना गरा के जति  बेला नि 😂,0
एनलाई नि मटन खुलाइदेऊ बिशाल भैया 😂,0
गाली खाने व्यौ एबीबी 😂😂,0
आवा गगन थापा नि दोश्रो काण्डकारी बन्नी वयेनिता😂,0
"हेप्पी होली,😁",0
"अस्ति खाको मासु 
उता को पो हो😂😂",0
"ठूलो मान्क्से भेटिक्सास
😂",0
मासु भात हैन टीडब्लू 🤣,0
आबा गगन थापा लाई पनोटी लाग्यो 😂😂,0
भोट मागियो?,0
इन्टरभ्यू हो  कि नै?😆😆😆😆😂🤣🤣🤣,0
आबा थानकोट कटाउन पार्क्स हाम्ले😂,0
भट्ट डबल गर्न गाको हो दाए?,0
कति पैसा खुवायो गगन ले बिशाल वाई?,0
मटन पार्टी खानु को मेन रिजन😂,0
कसले टाउको फुटायो  गगन जी को,0
ढुङ्गा प्रहार होला नी ध्यान गरम गौतम जी🤣🤣,0
गंगन कतिको गरे यिनले,0
मार्देऊ मलाई क्त हो 😂,0
आबा व्लग चाइयो ब्रदर जिटो 😀😀,0
तेरो नी काम छैन अब,0
गगनशाल,0
फेस को एक्सप्रेसन हेर्दा ता खसै खुसीई चाई देखिदैन हाइइ गगन थापा,0
के हो बिशाल दै लाई पो लाको एक्सए ता चुनाब,0
को हो यो बुडो?,0
जय नेपाल😍,0
लाला मु... दै😂,0
पाडे लेखेको आरडब्लु बुढी मानी सबले गगन लसी सपोर्ट गर्दै क्सान😊,0
कति पैशा पायौ ता बुदा ?,0
गिमु कुन चाई हो 🤧,0
ऋषव काफले दै १ २ पञ्च जाओस्😅🤣🤧,0
युबा हरु नि बद्व वयासी के लाग्क्सा आरडब्लु!!,0
आबा चुनाब हार्ने वायो 😢,0
"सही हो
गगन फोर पीएम",0
एह्ः त्यो मसुउउ वाला भिडियो दै बल कुरो बुझियो🤣🤣😹😹,0
सोच्या थ्ये आउट वको दै टीडब्लू गतिलो होला नि 🥹🤦,0
मासु ता पक्का जाँच,0
फाइनली के दै🤣🤣मिलेर देआ डुबाउने वो,0
को हो आइले सम्म दशैं को टीका नपुसेर बस्नी 😳,0
यो मु** लाई नि किनेक्सा,0
कांग्रेस को झोले पू रेक्सा,0
गुड त्वो युजलेस युथ्स टोगेथर ओने टाल्क्स रबिश ओने जस्ट टाल्क्स😂😂,0
छि,0
भोट माग्या कि गाली???????,0
बोथ आरे बोल्न ज्यानी गर्न केइ नजान्ने 🤣🤣🤣,0
मुजि बाख्रा चोरहरु अब त 😆,0
वोटे के मा आमाले मा होलानी😂,0
सोर्स ओएफ मासु भात,0
आउट २ता जोक हुनेयो सुरे येसले,0
पुकुली विथ गगन काका,0
इन्टरभ्यू चायो 😆,0
ला कति को बिटो झर्यो ☺️☺️,0
फेक न्यूज  चोर दलाल मिडीया,1
नेपाल देश माथि गद्दारि गर्दा को मुटु पक्राऊ पर्दा कम्जोर भयछ?,0
"यो सब नाटक गरेको हो 
ठग दलाली कमिसन खोर कान्तिपुर मिडिया को मालिक भारतीय नागरिक हो यो लाइ नेपाल बाट धपाउन पर्छ",0
"वेरी गुड न्यूज 
  यो कान्तिपुर मिडिया कोे मालिक दलाल कैलाश सिरोहिया मेरेको सुन्नु पाउँ",1
हिरासत छल्न अस्पताल भर्ना हुने प्रबृत्ति भनेर यै दलाल कान्तिपुरले एक बर्ष अगाडी लेख्याथियो थुइय लाजको पसारो,0
दलाल सिरोहिया को नाटक हो तुरुन्त हिरासद मा राखियोस।,1
पत्रकार निष्पक्ष हन्छ भन्थे तर हाम्राे देश नेपाल मा पत्रकार नि पार्टीका  तलुवा चाट्ने झाेले दलाल पाे छन है वाह क्या बात पत्रकार हिरासत मा हुँदा पाखण्डि सामन्ती देशद्रा्हि नेता काे किन १२-२४ नबजि २५ किन बज्या हाेला किन हडकम्प खुल्दुलि मच्या हाेला के काङ्ग्रेसको  मात्र पाल्तु हाेकि धन्य लाज सर्म नभएका मूर्ख हरु झनै भाषण मा ठुल्ठुला घुर्कि पाे देखाउछन भन्या  हुन त भन्ने गरिन्छ नि नकच्चरा लाज हुन्न मसाल मा कालस हुन्न साच्चै हाे रैछ सिराेहिया र काङ्ग्रेसको चाला अनियमितता भ्रष्टाचार नागरिकता प्रकरण मा मास्टर प्लान मेन नायक यिनै हुन जाे कसुरवाला बलात्कारि अपराधी गुण्डा चाेर हरु काे सङरक्षण गर्छन हेक्का रहाेस कि नेपाली जन्ता अब लाटा छैनन सबै पार्टीको  एक एक मुल्यांकन  गरि बसि कुरिरहेका छन आउदाे चुनाब मा कुन अनुहार र कुन पार्टी  लाई कसरी के कुन कहाँ किन कब कति कहिले सबक सिकाई लत्याउने छन हाेस गर जन्ता जनार्जन हुन खबरदार हाेसियार देश डुबाउन र जन्ता लाई अब ढट्न दुख दिन कदापि पाईन्न जय नेपाल आमा जय बाबा श्री पशुपतीनाथ 🇳🇵💐🚩🌺🌻🙏,0
चोर फटाहा नेपाली ठग्ने कान्तिपुर,1
बिमारि को नाम मा भेटघाट भै रहेको छ यो बिरामि छैन । दलाल हो,1
यस्ता बाँचेर पनि काम छैन नेपाल मा बसेर भारत को सेवा गर्ने माफिया गुण्डा चोर डाका कुनै न कुनै दिन नेपाल लाई फिजी बनाउने छन्,1
ए दलाल मिडिया झुटो खबर प्रसारण नगर है ।,1
यो चोर फटाहा दलालले हिरासत छल्नको लागि बिमारी भएको नाटक गरेको हो ।,1
जेल कोचिने वाला छ । तयारि साथ बस चोर कान्तिपुर । अनि मज्जा आउछ तेरो समाचार सुन्न्न्न,1
"""हिरासत छल्न अस्पताल भर्ना"" भन्ने समाचार किन बनाउदैनस् ए दलाल मिडिया",0
यो कान्तिपुर दलाल मिडिया रहेछ ।,1
यो दलाल मरेको खवर सुन्न पाइयोस् २ करोड नेपाली खुशी हुनेछ,1
यो दलाल किर्ते ठक लाई जेल कोच्नु नै पर्छ दलाल,1
दलाल,1
कुकुर को चाँडै मृत्यु होस्,1
यो मुजीको नाटक हो यस्ता नेपाललाई नर्क बनाउने नरपिचास हरु चाँडै मर्दैनन रोइलो नगर 😡😡,1
लुटेरा दलाल,1
हिरासत छ्ल्न पुगेको हो दुई चार कोर्‍आ लागाउन पर्छ ढाड बाङ्गिने गरि पुलिस दाइ हरु ले ठाउँ मा आउँछ भारतिय दलाल,0
साची नि कैले मर्छ अरे को कुकुर मरे पछि मलाई पनि भन्नू ल या खसी कात्ने कुरा भै रहेको छ,1
नाटक हो भिआईपी दलाल हरुको,0
कुकुर  लाइ   फासि देशरकार    झेाले मिडिया,1
चोर लाई के भएछ,1
"ये नेपाल का सबसे बड़ा ठग, हराम खोर, चुतीया, भोसुडी के लौडे साला , माँदर चोद मिडिया प्रा लि हे सबी लोग इसे अनफलो करो",1
नाटक डाकाको,1
भारते दलाल लाई असपताल लानु काे साटाे ठमेल बजार लगेर वाईन देकाे भए हुनेथियाे हाेला छिटै निकाे,1
मादरचोत दलाल मिडिया,1
फटाहा दलाल,0
किन अपराधीहरु पक्राउपर्ना साथ हस्पिटल भर्ना भएका होलान?डक्टरले डाइरिया लगाउने औसधि दिनुनि हो फेरि कुनै अपराधी पक्राउ पर्नासाथ बिरामीको नाटक नगरोस,1
गद्दारी,1
ओईई चिक्ने एमजी लाडो खास,1
साला चूर गुन्डा कैलासे,1
यो मुजि उतै मर्नु पर्छ साला चोर,1
तेरो मालिक बिहारी नेपाली नागरिकता चोर को दोहोरो तेहोरो नागरिकताको विषयमा किन चुक बोल्दैनस ?,0
थुइक्क नालायक दलाल मिडिया तेरो बाउलाई हिरासत छल्न असपताल गयो भनेर कि नलेख्या? अरुको हकमा त हेडलईन मै हिरासत छल्न लेखेको देखिन्थ्यो त!?😏,1
"हिरासत छल्न अस्पताल मा भर्ती हुने प्रविर्ती🤣🤣🤣
चोर डाका भ्रष्टचारी दलाल हरु उम्किने लास्ट बाटो अस्पताल बन्यो।",0
केही महिनाअघि मात्र हिरासत छल्न अस्पताल भर्ना हुने प्रवृत्ति हेडलाइन बनाएर समाचार छापेको थिइस् आज तेरो बाउ सिरोहिया को बारेमा किन नछापेको राँडिको छोरा कुकुर भारतिय दलाल कान्तिपुर 😡😡,1
मार मुजी,1
हिरासत छल्न अस्पताल भनेर कहिले लेख्छस तेरो मालिकको बारेमा ओई भतुवा ।।,0
"२०८० असोज १५ गते सोमबारका प्रकाशित कान्तिपुर दैनिकको पृष्ठ नं ३ मा भएको एउटा शीर्षकले सार्थकता पाएको छ। शीर्षक  थियो ""हिरासत छल्न अस्पताल भर्ना हुने प्रवृत्ति""🤣😂🤣😂🤣",0
हार्दिक श्रद्धाञ्जली,0
"श्रीन्खला खतिवडा अहिलेको  भारतीय बुहारी, अस्ति गृहमन्त्री को राम्रो कदमको बिरोध गर्ने ,   मिस नेपाल अवार्ड फिर्ता दे !फासी दे !  
श्रीन्खला को ससुरो कैलास सिरोहिया देशद्रोही लाई फाँसी दे !
श्रीन्खलाको पोइ  के पो सिरोहिया, रक्सि खायर गाडी ले किचेर  हत्या गर्ने हत्यारा लाइ फासी दे !",0
"""सिरोहिया हिरासत छल्न अस्पतालमा भर्ना""  भनेर हेडिङ राखेर समाचार लेख्ने हिम्मत छ कान्तिपुर  ??",0
हे भगवान यो दलालको नाटक सुरु भयोअब,0
हिरासत छल्न अस्पताल भर्ना हुनी प्रवृत्ति 😁,0
"काँग्रेस जस्तो पार्टी, कान्तिपुर जस्तो मिडिया भारत जस्तो छिमेकी हुनु नै हाम्रो दुर्भाग्य हो 🤗",0
यो ठग हाे एस्लाई जेलमै राखेर अनुसन्धान गर्नु पर्छ। मरे जेलमै मर्छ देशको धमिरा,1
हिरासत छल्न अस्पताल भर्ना,0
हार्दिक श्रध्दांजलि💐💐💐,0
नेपाल को कानुन सम्बिधानलाइ सम्मान गर्दै धोति कैलाश सिरोहियालाइ हार्दिक श्रध्दाञ्जलि भन्न चाहन्छु,0
मुटुको चाल सधैं बन्द होस यस्ता देश द्रोही को,0
यदि कान्तिपुर र कैलाश सिरोहीयाले नेपाली जनताको मुद्दा उठाएको भए नेपाली जनताको बारेमा कलम चलाएको भए अहिले सडकमा उसको साथमा नेपाली जनता हुने थियो। हेर्नुहोस् अहिले कांग्रेस नेता र दुई चार जना पत्रकार बाहेक माखो पनि छैन।,0
हार्दिक श्रद्धाञ्जली😥😥रिप,0
काठमाडौँ —विभिन्न अपराधमा पक्राउ परेका आरोपी तथा अभियुक्तहरू नेपालमा प्रहरी हिरासत छल्न अस्पताल भर्ना भएका कैयौं घटनाहरू विगतमा पनि हुँदै आएका छन् । पछिल्लो पटक अभिनेता अनमोल केसी पनि फौजदारी मुद्दाअन्तर्गत आपराधिक विश्वासघातमा गत शुक्रबार पक्राउ पर्नुअघिसम्म तन्दुरुस्त नै देखिन्थे । तर पक्राउ परेलगत्तै उनी प्रहरी हिरासतमा नबसेर स्वास्थ्यको कारण देखाउँदै एकाएक महाराजगन्जस्थित चिरायु अस्पतालको सुविधासम्पन्न क्याबिनमा बसेपछि यसको आलोचना भइरहेको छ ।,0
"आफनै मालिकको समाचार बजाउनुको पिडा कति होला है कान्तिपुर लाई ।
आफना मालिक लाई बचाउने क्रममा कान्तिपुर मिडिया ग्रुपले पत्रिकारिताको धर्म र मर्म लत्याउदै आएको देखिन्छ ।",0
हार्दिक श्रद्धाञ्जली स्वर्ग बास होस चाडै नेपालले शान्ती पाउने छ।,0
हिरासत छल्न हस्पिटल बस्ने परम्परालाई आफुलाइ पत्रकार भन्ने सिरोहियाले पनि निरन्तरता दिए।।।।।।,0
"कान्तिपुरमा एउटा समाचार देखेको थिए केइ दिन अगाडि
हिरासत छल्न अस्पताल भर्ना हुने प्रवृत्ति...
आज आफैमा आइलागेछ 🤔🤔🤔",0
"राष्ट्रको सबैभन्दा  ठुलो मिडिया हाउसको यो हालत!!

जन कारवाहीबाट तर्सियो कान्तिपुर पब्लिकेशन। हटायो रेटिङ अप्सन  😯:) कान्तिपुर मिडियाले गलत र भ्रामक समाचार सम्प्रेषण गर्दै आएको जन गुनासो पछि कान्तिपुर मिडियालाई जनस्तरबाट नै सामजिक सन्जालमा लगातार हमला गरेपछी कान्तिपुर मिडिया यो डरले उसले आफ्नो फेसबुक पेज बाट रेटिङ अप्सन नै हाटाएको छ ।कान्तिपुरलाई १  घन्टामा ३० हजार ले नेगेटिभ रेटिङ गरेका थिए भने रेटिङ २.८ बाट १.५ मा पुरयाई दिएका थिए। अहिले भने उक्त अप्सन हटाइएको छ।☺️☺️",0
"लु वर्वाद, ज्यान नै तल माथि नहाेस्, हुना त पाप धुरी बाट कराउन्छ भन्थ्ये, यस्ता धर्मात्माले पाप पनि कहाँ गरेका हाेलान् र ? विचरा सिराेहिया, पब्लिकेसन नै बन्द भएपछि हजाराै युवाहरु अब के गरि खालान्, स्वास्थ्य अबस्था खत्तमै भई सक्याे भन्छ प्रादेशिक अस्पताल । उता उपचार हुन नसक्ने भए पछि अर्काे ठुलै अस्पताल पुराईएकाे छ रे । कठै कठै कठै विचारा मालिक र विचारा कामदार हरु",0
"म सधैं लोकतन्त्र ,मिडिया र वाक स्वतन्त्रतालाई सम्मान गर्ने मान्छे । कान्तिपुर हाउस भारतीय मुखपत्र भन्दा फरक पर्दैन । कान्तिपुर मिडिया सत्य यथार्थ र जन आवाज भन्दा पनि  मिडियाका नाउँमा ब्ल्याकमेलिङ बार्गेनिङ गरि अकुत पैसा कमाउँने उद्योग जस्तै भो । दोहोरो नागरिता कसुरमा सिरोहिया ठिक छन भन्ने छुटलान , दोषी देखिए कानुनतः कारवाही भोग्नैपर्छ । गैर कानुनी धन्दा चलाउन कसैलाई पनि छुट हुँदैन ।",0
"+९७७-०१-५१३५०००
+९७७-०१-५१३५००१
कान्तिपुरकाे नंवरमा मैले फाेन गरें । भाग्यवश कान्तिपुरकाे कान्छीले फाेन उठाई, मैले साेधें भलै उस्काे अावाज मधुर थियाे "" पाठकले दिएका तपाईहरुकाे समीक्षा के अब पाठकहरुले पढ्न बुझ्न नपाउने हाे ? तपाईहरकाे सामाग्रीलाई अब पाठकले समीक्षा गर्न नपाउने हाे ? नयाँ अाउने पाठकले तपाईहरुलाई कुन अाधारले मल्याँङ्कन गर्ने अाधार दिनु भएकाे छ ? के तपाईहरुका सामाग्री कन्ज्युम गर्ने कन्ज्युमर माथीकाे अन्याय हाेईन ?
मेराे प्रश्नहरुमा ऊ माैन थिई । अम् अम् हजुर हजुर बाहेक अरु केही जवाफ थिएन",0
बिदाइको  अग्रिम शुभकामना 😋😋,0
हार्दिक श्रद्धाञ्जली बिहारी धोती,0
फाइनली बिरामी हुन सफल भएका छन कैलास सिरोहिय ।😀,0
सम्मान को साथ हार्दिक श्रद्धाञ्जली🪦,0
कान्तिपुरको रोईलो पारा देख्दा पनि अचम्म लाग्छ विचरा!टिमै सवै यस्तै मात्र रहेछ,0
